입국자국가,국가코드,입국연월,입국자 수
일본,130,202201,1162
일본,130,202202,2934
일본,130,202203,1397
일본,130,202204,2231
일본,130,202205,3701
일본,130,202206,5855
일본,130,202207,11789
일본,130,202208,26482
일본,130,202209,27560
일본,130,202210,67159
일본,130,202211,62422
일본,130,202212,84175
일본,130,202301,66900
일본,130,202302,94393
일본,130,202303,192318
일본,130,202304,128309
일본,130,202305,183691
일본,130,202306,196512
일본,130,202307,211468
일본,130,202308,263453
일본,130,202309,250102
일본,130,202310,255092
일본,130,202311,278322
일본,130,202312,195869
일본,130,202401,143152
일본,130,202402,183999
일본,130,202403,338742
일본,130,202404,229252
일본,130,202405,278423
일본,130,202406,258431
일본,130,202407,242953
일본,130,202408,323465
일본,130,202409,310652
일본,130,202410,323266
일본,130,202411,341198
일본,130,202412,250546
일본,130,202501,174717
일본,130,202502,224482
